,market_place,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,Sentiment_jwlry
0,"""US""","""50423057""","""R135Q3VZ4DQN5N""","""B00JWXFDMG""","""657335467""","""Everbling Purple and Clear Briolette Drop Swarovski Elements Crystal Earrings""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Beauties!""","""so beautiful even tho clearly not high end ... But super great for price and as costume jewelry, though others will have to look twice since they appear very near real ... Very nice""",2015-08-31,positive
1,"""US""","""11262325""","""R2N0QQ6R4T7YRY""","""B00W5T1H9W""","""26030170""","""925 Sterling Silver Finish 6ct Simulated Diamond Stud Set""","""Jewelry""",1,0,0,0 	(N),0 	(N),"""Great product.""","""Great product.. I got this set for my mother, as she is allergic to bijoux (probably to the nickel in some products, I don't know for sure, I just know that her ears get swallowed, red and itchy unless is silver or gold).<br />And I'm glad that this is sterling silver and still at a affordable price. She never got an allergic reaction, and now she wears them every day.""",2015-08-31,positive
2,"""US""","""27541121""","""R3N5JE5Y4T6W5M""","""B00M2L6KFY""","""697845240""","""Sterling Silver Circle ""Friends Forever"" Infinity Symbol Pendant Necklace, 18""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Exactly as pictured and my daughter's friend loved it! It came packaged in a nice box ...""","""Exactly as pictured and my daughter's friend loved it! It came packaged in a nice box and I thought it looked more expensive than it was. Very happy with this purchase.""",2015-08-31,positive
3,"""US""","""5350721""","""R2I150CX5IVY9Q""","""B0006SW2WU""","""569859289""","""Surgical Stainless Steel Domed 9mm Fishbone Ring Wedding Band Comfort-Fit, sizes 7 - 14""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love it. Fits great. Super comfortable and neat idea with the fish bones that can also come out!!!""",2015-08-31,positive
4,"""US""","""24484424""","""R1RM9ICOOA9MQ3""","""B009YPDW70""","""332947422""","""Sterling Silver Family Pendant Necklace, 18""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""... a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design""","""Got this as a Mother's Day gift for my Mom and she loved it! Really nice quality and an interesting design.""",2015-08-31,positive
5,"""US""","""457767""","""R2J2KMDL10UMSH""","""B00QGA8XZM""","""424804582""","""CHOOSE YOUR COLOR Sterling Silver Heart Promise Ring""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""I Love It Make Me Won't To Get Another""",2015-08-31,positive
6,"""US""","""31009358""","""R3R9ZUFA4TB4FQ""","""B00L0N0E8E""","""589441783""","""Metal Factory 925 Sterting Silver Plumeria Cubic Zirconia CZ with Maile Leaf Hawaiian Flower Band Ring""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""True to size, unique""",2015-08-31,positive
7,"""US""","""7034628""","""R3UQ8VAQN7R6WL""","""B00DMWQKWA""","""517428445""","""niceEshop(TM)Classic Vintage Champagne Cross Pendant With Chain""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""This necklace is BEAUTIFUL......is a great accent to my wardrobe.""",2015-08-31,positive
8,"""US""","""34608636""","""R1FXZ69C01JNQM""","""B00THLHAGA""","""320313750""","""Genuine Natural Baltic Amber Adjustable Stretch Ring for Women""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""just perfect""",2015-08-31,positive
9,"""US""","""44972687""","""RY36LB4OW0FFS""","""B00UXSEOHY""","""589365488""","""MBOX Expandable Antique Gold Tone,Antique Sliver Tone & Antique Bronze Letters Wire Bangle Bracelet""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love it !""",2015-08-31,positive
10,"""US""","""16684508""","""R6PKS54PC6ZY2""","""B00XGRYGVS""","""217045013""","""Set of 3 Nose Rings: 22g Sterling Silver CZ Nose Studs - Clear, Pink & Light Purple""","""Jewelry""",0,4,4,0 	(N),1 	(Y),"""I had high hopes for these, but it was an Epic Fail.""","""They didn't even last through the first day. One of them, the stone was already out when I got it. The other two - they both fell out that day! I'm sad, because I really was looking forward to these.""",2015-08-31,negaitve
11,"""US""","""23493178""","""R1LYSAH0IECVWB""","""B00AJ2VU8A""","""972853757""","""3-row White A Grade Freshwater Cultured Pearl Necklace (6.5-7.5mm), 16.5"", 17""/18""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""This is a real nice necklace for the price""","""This is a real nice necklace for the price. Don't look for each strand to be larger diameter than the next, that is not what is advertised. All in all a really nice necklace""",2015-08-31,positive
12,"""US""","""108294""","""R1UN0IZI3XQ3E2""","""B00LE5Y100""","""979375701""","""KONOV Mens Stainless Steel Ring, Gothic Skull Hand Claw Poker Playing Card, Black""","""Jewelry""",1,2,3,0 	(N),1 	(Y),"""AMAZING""","""This is a very comfortable ring I would definitely buy it now GREAT RING KONOV""",2015-08-31,positive
13,"""US""","""25810742""","""RIKDXD8QGL99S""","""B013E0AOH6""","""619592796""","""TEMEGO Jewelry Mens 2pcs Rhodium Plated Vintage Superman Symbol Wedding Cufflinks Shirt Cufflinks, Black Silver""","""Jewelry""",1,1,1,0 	(N),1 	(Y),"""Five Stars""","""Great quality for the price!""",2015-08-31,positive
14,"""US""","""12037665""","""RUZCQTXZVGUFH""","""B00XAWUP96""","""783863439""","""Royal Blue/White KC ROYALS Silver Tone Multi Charm Toggle Bracelet Kansas City Sports""","""Jewelry""",1,1,1,0 	(N),1 	(Y),"""A Little Smaller Than Expected""","""I like the bracelet a lot, it's really cute and almost exactly what I expected. I do wish it were just a little longer as it is a little snug even though I have fairly small wrists.""",2015-08-31,positive
15,"""US""","""51793466""","""R35CD4IHO3RP9H""","""B00WD82F1O""","""655270378""","""10-11mm Baroque Freshwater Cultured Pearl Endless Necklace 32"" 60"" 64"" In Dyed and Natural Colors""","""Jewelry""",1,1,1,0 	(N),1 	(Y),"""Pretty and Versatile""","""This is pretty and versatile. I have it to wear with dresses that are low cut. It allows me to be a bit more modest. I especially appreciate the continuous string. A wandering clasp can ruin a look.""",2015-08-31,positive
16,"""US""","""127508""","""R13YD66XC9221U""","""B00JP4XCSO""","""592155747""","""Sankuwen® Fashional 7pcs Stack Plain Rings Cute Eye Bowknot Crown Rhinestone Joint Rings""","""Jewelry""",0,0,0,0 	(N),0 	(N),"""Don't get this like the first time I opened this it got broken ...""","""Don't get this like the first time I opened this it got broken and it don't fit on my fingers""",2015-08-31,negaitve
17,"""US""","""38430946""","""RHWG4JRVDSEYY""","""B00PZSM384""","""622179716""","""zjskin6688 store New fashion Hip-Hop African Map Pendant Wood Bead Rosary Necklaces""","""Jewelry""",0,1,1,0 	(N),1 	(Y),"""Three Stars""","""Not what I expected. Took too long to ship. But price was right. Necklace not adjustable, hangs too low""",2015-08-31,negaitve
18,"""US""","""33684654""","""R3SPIKMJ5IWHX8""","""B00VLMW18K""","""36759824""","""Scheppend Polymer Clay Cute Cartoon Fox Handmade Stud Earrings ¡­""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""Bought these for my daughter, cute but bigger than what I imagined they would be.""",2015-08-31,positive
19,"""US""","""5068631""","""RS19ACU7KWWNE""","""B00U5LDBB4""","""575109200""","""Horizontal Sideway Lateral Cross Pendant Necklace Stainless Steel with 20 inches Chain""","""Jewelry""",1,1,1,0 	(N),1 	(Y),"""Five Stars""","""Pretty, and very comfortable to wear!""",2015-08-31,positive
20,"""US""","""46667015""","""R21HUZ3R50MKXY""","""B00T24K90Q""","""481854518""","""Magnoli Clothiers Doctor Who Style Capaldi Ring""","""Jewelry""",1,5,5,0 	(N),1 	(Y),"""Tell me Clara: Am I a good ring?""","""Great ring. Looks exactly like the one Capaldi wears. My body is ready to wear it was in everyday life and for cosplay. One problem was it does kinda look weird after it is bent to fit your finger, but I do have big fingers. Metal was easy to bend, but still stiff and you can't notice the shape when wearing it.""",2015-08-31,positive
21,"""US""","""1468500""","""R3UQLKNZBCOR4I""","""B0064MB44E""","""145889292""","""Black Stainless Steel Dragon Stud Earrings for Men""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""My son loved them when he got them""","""My son loved them when he got them. They gave him the look of plugs. But maybe a month after getting them one of the black piece with the dragon on it fell off of the metal. Not happy!""",2015-08-31,negaitve
22,"""US""","""16265495""","""R36X25ZXK35N6W""","""B010EJPWX6""","""533636982""","""Essential Oils Aromatherapy Diffuser Locket Necklace""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Beautiful!""","""Very pretty & works really well diffusing the scented oil. Very very happy with this purchase!""",2015-08-31,positive
23,"""US""","""10646870""","""R3UDCSQC5TYGCK""","""B00GUGNOME""","""519716014""","""Zehui Chap Turquoise Beads Tibetan Silver Cute Elephant Stretch Bangle Bracelet""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""like it very much""",2015-08-31,positive
24,"""US""","""44605318""","""RTUQXYUZKPT13""","""B00DAGEL7E""","""895537163""","""TIR-0008 Solid Titanium Rose Gold IP 6mm Wide Classic Band Ring; Comes With Free Gift Box""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Love this ring""",2015-08-31,positive
25,"""US""","""32524231""","""RH5ML4EQN0SL0""","""B00MV4J6US""","""456364595""","""Pro Jewelry Dangling ""Cat w/ Heart"" Clip-on Bead for Charm Bracelet 04843""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""great""",2015-08-31,positive
26,"""US""","""12555975""","""R1OUPUVBG3ODUL""","""B00X12S0ZQ""","""823109748""","""Rope Braided Band Simulated Coral Fashion Bali Ring New .925 Sterling Silver Sizes 6-9""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""Beautiful red color. Goes with my other coral jewelry.""",2015-08-31,positive
27,"""US""","""42202962""","""R3B6JZYIYF5ZNF""","""B00L2I544G""","""111535542""","""Sterling Silver 3mm 24 Inch Beaded Rosary Necklace with Dangling Cross (I-1520)""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""My daughter loved it...""",2015-08-31,positive
28,"""US""","""843326""","""R18J21ESU0VJZU""","""B00U8F8VGC""","""82413622""","""Chain 22K 23K 24K THAI BAHT GOLD GP NECKLACE 24"" 50 Grams Jewelry""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""Two Stars""","""I don't like.""",2015-08-31,negaitve
29,"""US""","""4901333""","""R69A7MHQAJK9W""","""B00WH5FMW2""","""399874211""","""Nermix® Harry Potter Time-Turner Rotating Hourglass Pendant Alloy Necklace (Golden)""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""One Star""","""Very bad quality. The sand on mine was bright pink.. Hideous .. save your money""",2015-08-31,negaitve
30,"""US""","""31170340""","""R9116IYGYMP73""","""B00F427HSM""","""417771809""","""JewelrieShop Unisex Handmade Raw Made Real Genuine Leather Cuff Bracelet Wristband, Adjustable""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""Too bad. I really liked it""","""I got a 51-01 Brown. It came apart after a few days. Too bad. I really liked it.""",2015-08-31,negaitve
31,"""US""","""43536220""","""RBGK3XGSUAVQQ""","""B004XJDW2W""","""193271009""","""Disney ""Princess"" Girl's Sterling Silver Pink Cubic Zirconia Heart Pendant Necklace and Chain, 18""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""All in all it is really pretty!""","""I received the necklace quickly and it was really cute. The stone is pink but sparkles with different colors. The only thing I'm worried about is the necklace looks very fragile and my 8 year old granddaughter can be rough playing around. All in all it is really pretty!""",2015-08-31,positive
32,"""US""","""116982""","""R7B6VOHA82LDW""","""B005QL7IOY""","""72729315""","""Dogeared Reminder ""Good Luck"" Elephant Pendant Necklace, 16""""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""I like it very much""","""very cute! I like it very much.""",2015-08-31,positive
33,"""US""","""40689064""","""RN95Y02OEYWEM""","""B00EE3UOSW""","""767274256""","""Remedios Bridal Flower Side Hair Comb Wedding Accessory Rhinestone Headpiece""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""My daughter loves it.""",2015-08-31,positive
34,"""US""","""38675214""","""R2A29ZKEZIKWKL""","""B002GZRRGC""","""340879951""","""Body Accentz&reg; Belly Button Navel Ring Body Jewelry 14g Double Gem Lot of 8""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""Two Stars""","""Smaller than I had expected..""",2015-08-31,negaitve
35,"""US""","""19402709""","""RBQY3JZ4I9YFU""","""B00TV315E2""","""205308648""","""Disney Tsum Tsum Dumbo Pin""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""it states that the item is new, but you ...""","""it states that the item is new, but you can't tell because it came in a little zip bag with no packaging.""",2015-08-31,negaitve
36,"""US""","""33095631""","""R2YOQ0W2SNWG3H""","""B005T3ITD8""","""891114855""","""925 Sterling Silver Sis Sister Heart Charm Bracelet""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""Two Stars""","""Broke after a few wearings.""",2015-08-31,negaitve
37,"""US""","""122552""","""RQBGO394H6POG""","""B010BZ6H14""","""638390748""","""Non-piercing Septum Jewelry: Gold Silver Tone Tribal Hanger 4 pcs Nose Ring (No Piercing Required)""","""Jewelry""",1,2,2,0 	(N),1 	(Y),"""LOVE THEM""","""These look so cute on, and they are so much easier to get used to than i thought they would be. i loveeeeeeeee them! They are such a hit with all my friends :)""",2015-08-31,positive
38,"""US""","""111384""","""R3G5O9YBBD03X8""","""B000NXGR9M""","""854266499""","""3 Ring Guards 14K Gold Filled Ladies Jewelry Sizers""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""I have used one so far and it looks nice and neat.""",2015-08-31,positive
39,"""US""","""46789906""","""R2EH1B0UWF6MBO""","""B00KQ4FEQ0""","""723583571""","""925 Sterling Silver Cubic Zirconia CZ Promise Engagement 2.15 ct.tw Band Ring""","""Jewelry""",1,1,1,0 	(N),1 	(Y),"""Wonderful!""","""Stunningly amazing and beautiful i love it! Thanks so much! A great price and its is a little big but i had a ring like it before so i ordered this one smaller as a guess lol.""",2015-08-31,positive
40,"""US""","""30978102""","""RDXED12684VRO""","""B00449ZF4O""","""84121669""","""Large Watch/Cuff Bracelet Jewelry Gift Box: Carnival Collection""","""Jewelry""",0,1,1,0 	(N),1 	(Y),"""The bracelet did not fit properly & I had to ...""","""The bracelet did not fit properly & I had to actually reshape the bracelet holder & it looked ugly after that. The box should mention the wrist size of the bracelet holder inside- also it it too oval in shape-- & does not take the shape of the bracelet.""",2015-08-31,negaitve
41,"""US""","""6756291""","""R364LH3X2IJW2R""","""B00B33W7FE""","""921425620""","""Hokage Naruto Pendant Necklace Double Bands Konoha Sign""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""great product! bought for my key chain""","""great product! bought for my key chain! came super early, like 2 weeks early! only complaint is both pendants are attached by one ring, I was planning on only using one, but still amazing product""",2015-08-31,positive
42,"""US""","""11368983""","""R20YTM2J97GGR4""","""B00S5HHKBW""","""580282815""","""1 Pair of 00 Gauge (00G - 10mm) Double Flare Emerald Green Glass Tunnel Plugs""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""Great fit. The color is more glass-bottle-green than olive-green but they are good quality plugs.""",2015-08-31,positive
43,"""US""","""34395929""","""RQRAEY45P5TTB""","""B007CM0YVO""","""782503779""","""6MM Ladies Eternity Titanium Ring Cubic Zirconia Wedding Band with CZ sizes 4 to 9""","""Jewelry""",1,1,2,0 	(N),1 	(Y),"""Beautiful Ring - Great Quality""","""I have never tried or purchased Titanium jewelry before. It is darker than I anticipated, but not a deal breaker. The picture represents this ring is very well - it is quite pretty. This ring is quite substantial and hefty, however, and I have very slender fingers. I may need to exchange this for a thinner version. Overall, I like it and hope that I can find the right size to fit. They have many, other beautiful rings, so I am confident that I can get what looks the best.""",2015-08-31,positive
44,"""US""","""10031108""","""R13YJC4AM9KICP""","""B00GU82FQS""","""764978574""","""925 Sterling Silver Celtic Knot Eternity Band Ring""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Four Stars""","""sizes ran small to me""",2015-08-31,positive
45,"""US""","""19993978""","""R24HV5SINGBXB1""","""B003O69NZ0""","""777698934""","""Kenneth Cole New York Two-Row Necklace""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""Not Worth the Money""","""I thought I was ordering gold; I received silver. It is attractive enough, and I will keep it. However, I realized that buying jewelry in person is preferable. Also, if you want a test of patience, this is your necklace. I spent nearly an hour untangling it. Plan to hang it for storage.""",2015-08-31,negaitve
46,"""US""","""44794333""","""R3O30KEKG6XQC3""","""B00XVX9V8U""","""97477517""","""GULICX Jewelry Rose Gold Tone Hollow Clear CZ Zircon Fit Gorgeous Hoop Earring for girl""","""Jewelry""",1,1,1,0 	(N),1 	(Y),"""very pretty earrings-they have a nice shine to them""","""Very, very pretty earrings-they have a nice shine to them. Arrived quickly and in a cute little gift box, too.""",2015-08-31,positive
47,"""US""","""32176919""","""R3M3Y3M9P7QRH5""","""B00DGNJIWY""","""601473854""","""6mm Wide 316L Stainless Steel Ring 5 clear CZ gem Band""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""gorgeous and fits great""",2015-08-31,positive
48,"""US""","""21666549""","""R31Y2HEOWISMD7""","""B004POJT5O""","""761915771""","""Sterling Silver Knitting Wool Ball Bead for European Charm Bracelets""","""Jewelry""",0,0,0,0 	(N),1 	(Y),"""One Star""","""It is a gift for Sept 2. I hope it fits her bracelet. Not sure yet.""",2015-08-31,negaitve
49,"""US""","""18238567""","""R16YC6SMGKA8SR""","""B00MD99R9G""","""692935467""","""Fun Daisy New Design Jewelry Vintage Grand Choker Rhinestones Fashion Necklace""","""Jewelry""",1,23,23,0 	(N),1 	(Y),"""Beautiful statement piece, great quality, great price!""","""This is the first time I've ordered anything like this through Amazon. The photos that others posted in their reviews helped, but it is much nicer in person. The photos don't do it justice. It's a heavy piece, but not too heavy. It has the right weight to it for something with that many stones in it. If it was lighter, I would have worried about the quality - but this is not the case. For the price, this is perfect - probably even better than I expected! The stones have a lot of sparkle to them, but it's hard to get that in a photo. This is a striking piece.The necklace has varied shades of blue, so it could go with many different blue clothing pieces, or go well with something contrasting. The metal has an antique brass look to it. It looks like something you'd find in a higher end boutique. I have no doubt this will be a great statement piece for everyday or for a special event look. I'm very glad I took a chance and bought this one. This was an awesome find! I can't say enough good things about it! If you purchase, I don't think you'll be disappointed. Fun Daisy also packed this very securely in a cute box and bubble wrap inside. It arrived, no damage, in perfect condition.""",2015-08-31,positive
50,"""US""","""37930676""","""RINZZIQKFQ2UF""","""B00JWABJRC""","""793684048""","""Beads Hunter 925 Sterling Silver Gold on Blue Starbursts Glass Bead Fits European Bracelet""","""Jewelry""",1,0,0,0 	(N),1 	(Y),"""Five Stars""","""This is a beautiful intricate bead - reminded me of Vincent Van Gogh's &#34;Starry Night&#34;""",2015-08-31,positive
